"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_DOMAIN_SP_1_DESC","Ants also reduce the damage of enemies by <c00cc00><VALUE1>%</c>","يقلل النمل أيضًا من الضرر الذي يلحقه الأعداء بنسبة <c00cc00><VALUE1></c>.","蚂蚁还会使敌方伤害降低<c00cc00><VALUE1>%</c>。","螞蟻還會使敵方傷害降低<c00cc00><VALUE1>%</c>。","Ameisen reduzieren außerdem den Schaden von Feinden um <c00cc00><VALUE1> %</c>.","Las hormigas reducen el daño que infligen los enemigos en un <c00cc00><VALUE1> %</c>.","Muurahaiset myös vähentävät vastustajien tekemää tuhoa <c00cc00><VALUE1> % </c>.","Les fourmis réduisent également les dégâts des ennemis de <c00cc00><VALUE1> %</c>.","נמלים מפחיתות גם את הנזק שנגרם מאויבים ב- %<c00cc00><VALUE1></c>","Semut juga akan mengurangi kerusakan lawan sebesar <c00cc00><VALUE1>%</c>.","Camminare sulle formiche riduce anche del <c00cc00><VALUE1>%</c> i danni ricevuti dai nemici.","アリが被ダメージを<c00cc00><VALUE1>％</c>軽減するようになる。","개미가 적이 주는 피해를 <c00cc00><VALUE1>%</c>만큼 감소시킵니다.","Semut juga mengurangkan kerosakan musuh sebanyak <c00cc00><VALUE1>%</c>.","Mieren verminderen ook de schade van vijanden met <c00cc00><VALUE1>%</c>.","Mrówki zmniejszają obrażenia wrogów o <c00cc00><VALUE1>%</c>","As formigas também reduzem o dano dos inimigos em <c00cc00><VALUE1>%</c>.","Муравьи снижают получаемый урон на <c00cc00><VALUE1> %</c>.","มดช่วยลดความเสียหายของศัตรูลงอีก <c00cc00><VALUE1>%</c>","Karıncalar ayrıca düşmanların hasarını <c00cc00>%<VALUE1></c> azaltır.","Bầy kiến cũng sẽ khiến sát thương của kẻ địch giảm <c00cc00><VALUE1>%</c>."
"TID_DOMAIN_GADGET_2_DESC","Trunk heals from the first source of damage taken for the next <c00cc00><VALUE1></c> secs.","يتعافى ترانك من أول مصدر ضرر يتلقاه لمدة الـ <c00cc00><VALUE1></c> ث التالية.","接下来<c00cc00><VALUE1></c>秒内，桩受到的首次伤害会变为提供治疗。","特朗克在接下來<c00cc00><VALUE1></c>秒內，會將首次受到的傷害轉化為生命值。","Trunk heilt sich <c00cc00><VALUE1></c> Sekunden lang durch die erste Schadensquelle, die ihn angreift.","Trunk se cura del primer daño que reciba tras la activación del gadget durante los próximos <c00cc00><VALUE1></c> segundos.","Trunk parantuu ensimmäisestä tuhonlähteestä seuraavan <c00cc00><VALUE1></c> sekunnin ajan.","Trunk se soigne à partir de la première source de dégâts subis pendant les <c00cc00><VALUE1></c> prochaines secondes.","טראנק מרפא מהמקור הראשון שחטף נזק למשך <c00cc00><VALUE1></c> שניות.","Trunk akan sembuh dari kerusakan pertama yang diterima selama <c00cc00><VALUE1></c> detik.","Per i <c00cc00><VALUE1></c> secondi successivi all'attivazione del gadget, Trunk cura i danni ricevuti dal primo nemico da cui è stato colpito.","<c00cc00><VALUE1></c>秒以内に受けた最初のダメージを回復に変換する。","다음 <c00cc00><VALUE1></c>초 동안 처음으로 받은 피해를 회복합니다.","Trunk menyembuh daripada kerosakan pertama diambil untuk <c00cc00><VALUE1></c> saat seterusnya.","Trunk wordt genezen door de eerste bron van schade gedurende de volgende <c00cc00><VALUE1></c> seconden.","Trunk leczy obrażenia otrzymane z pierwszego źródła w ciągu następnych <c00cc00><VALUE1></c> sek.","Trunk se cura da primeira fonte de dano recebido pelos próximos <c00cc00><VALUE1></c> segundos.","Впервые получив урон, Транк восстанавливает здоровье в течение следующих <c00cc00><VALUE1></c> с.","ทรังค์รักษาพลังชีวิตจากแหล่งความเสียหายแรกที่ได้รับเป็นระยะเวลา <c00cc00><VALUE1></c> วินาที","Trunk'ın ilk kaynaktan aldığı hasar <c00cc00><VALUE1></c> saniye boyunca iyileşir.","Trong <c00cc00><VALUE1></c> giây tiếp theo, Trunk hồi máu từ nguồn sát thương đầu tiên nhận vào."
"TID_STALKER_GADGET_2_DESC","Alli becomes enraged for the next <c00cc00><VALUE2></c> secs. Can only be activated when an enemy is visible.","تصبح ألي غاضبة لمدة الـ <c00cc00><VALUE2></c> ث التالية. يمكن التفعيل عندما يكون العدو ظاهرًا فقط.","鳄梨进入激怒状态，持续<c00cc00><VALUE2></c>秒。只能在视野内有敌人时使用。","愛莉進入激怒狀態，持續<c00cc00><VALUE2></c>秒。只能在視野內有敵人時使用。","Alli kocht die nächsten <c00cc00><VALUE2></c> Sekunden vor Wut. Dies kann nur aktiviert werden, wenn ein Gegner sichtbar ist.","Alli se enfurece durante los próximos <c00cc00><VALUE2></c> segundos. Solo se activa si el enemigo es visible.","Alli raivostuu seuraavan <c00cc00><VALUE2> sekunnin </c> ajaksi. Käytettävissä vain silloin, kun vastustaja on näkyvissä.","Alli devient enragée pendant les <c00cc00><VALUE2></c> prochaines secondes. Peut uniquement être activé quand un ennemi est visible.","אלי תזעם למשך <c00cc00><VALUE2></c> שניות. ניתן להפעיל רק כשאויב גלוי.","Alli menjadi murka selama <c00cc00><VALUE2></c> detik (hanya dapat diaktifkan saat lawan terlihat).","Alli s'infuria per i <c00cc00><VALUE2></c> secondi successivi all'attivazione del gadget, che può essere attivato solo quando un nemico è visibile.","<c00cc00><VALUE2></c>秒間アリーが激怒状態になる。敵が見えているときのみ発動可能。","다음 <c00cc00><VALUE2></c>초 동안 분노 상태가 됩니다. 적이 보일 때만 활성화할 수 있습니다.","Alli naik marah untuk <c00cc00><VALUE2></c> saat seterusnya. Hanya boleh diaktifkan apabila nampak musuh.","Alli wordt ziedend gedurende de volgende <c00cc00><VALUE2></c> seconden. Kan alleen worden geactiveerd wanneer een vijand zichtbaar is.","Alli wpada w furię na <c00cc00><VALUE2></c> sek. Furię można aktywować tylko wtedy, gdy widoczny jest wróg.","Alli fica enfurecida pelos próximos <c00cc00><VALUE2></c> segundos. Só pode ser ativado quando há um inimigo visível.","Алли впадает в ярость на <c00cc00><VALUE2></c> с. Можно активировать, только если враг не является невидимым.","อัลลี่เข้าสู่สถานะบ้าคลั่งเป็นระยะเวลา <c00cc00><VALUE2></c> วินาที เปิดใช้ได้ต่อเมื่อมองเห็นศัตรูเท่านั้น","Alli sonraki <c00cc00><VALUE2></c> saniye boyunca öfkelenir. Yalnızca görünen bir düşman olduğunda etkinleştirilebilir.","Alli trở nên giận dữ trong <c00cc00><VALUE2></c> giây tiếp theo. Chỉ có thể kích hoạt phụ kiện này khi có một kẻ địch xuất hiện."
"TID_AFK_BANNED_TITLE","Cannot Rejoin Battle","تعذر الرجوع إلى المعركة","无法重新加入对战","無法重新加入對戰","Erneuter Beitritt zum Kampf nicht möglich.","No puedes regresar a la batalla","Ei voida palata taisteluun","Impossible de rejoindre le combat","לא ניתן להצטרף מחדש לקרב","Tidak Dapat Bergabung Kembali","Impossibile tornare a combattere","このバトルには戻れません","전투 재참가 불가","Tidak boleh sertai semula pertempuran","Kan niet opnieuw bij gevecht aansluiten","Nie można dołączyć ponownie do bitwy","Impossível voltar para a batalha","Нельзя вернуться в бой","ไม่สามารถเข้าร่วมการต่อสู้อีกครั้งได้","Savaşa Yeniden Katılamadın","Không thể quay lại trận chiến"
"TID_AFK_BANNED_MSG","You were disconnected from the battle too many times, this could be due to a bad network. You will be allowed back into the game once the battle is over.","انقطع اتصالك خلال المعركة مرات عديدة. قد يكون ذلك بسبب سوء الشبكة. سيُسمح لك بالرجوع إلى اللعبة عقب انتهاء المعركة.","您从对战中断开连接的次数过多，可能是网络不稳定所导致。这场对战结束后，您就可以重新进入游戏了。","你從對戰中斷線的次數過多，可能是網路不穩定所導致。這場對戰結束後，你就可以重新進入遊戲了。","Deine Verbindung zum Kampf wurde zu oft getrennt. Dies kann an einer schlechten Netzwerkverbindung liegen. Du wirst wieder mitspielen können, sobald der Kampf beendet ist.","Te has desconectado de la batalla demasiadas veces, tal vez debido a una mala conexión. Podrás volver a entrar al juego cuando esta termine.","Yhteytesi katkesi taistelun aikana liian monta kertaa, mikä voi johtua heikosta yhteydestä. Pääset takaisin peliin taistelun päättyessä.","Vous avez été déconnecté(e) un trop grand nombre de fois, peut-être à cause d'une mauvaise connexion. Vous pourrez revenir dans le jeu quand le combat sera terminé.","נותקתם יותר מדי פעמים מהקרב, יתכן שזה קרה בגלל חיבור לרשת לא תקינה. תוכלו לחזור למשחק לאחר שהקרב הסתיים.","Kamu terlalu sering terputus dari laga yang mungkin diakibatkan koneksi yang kurang stabil. Kamu akan diizinkan masuk kembali ke game setelah laga selesai.","La connessione con la battaglia è stata interrotta troppe volte, forse per problemi di rete. Potrai tornare a giocare al termine dello scontro.","ネットワークの問題などにより、バトル中に複数回接続が切断されました。このバトルには戻れませんが、終了後にプレイ可能です。","전투 중 연결이 너무 자주 끊겼습니다. 네트워크 문제일 수도 있습니다. 해당 전투가 종료되면 게임에 다시 복귀할 수 있습니다.","Anda putus sambungan daripada pertempuran terlalu banyak kali, ini mungkin disebabkan rangkaian lemah. Anda boleh kembali ke permainan selepas pertempuran tamat.","Je bent te vaak de verbinding verloren tijdens het gevecht. Dit kan het gevolg zijn van een slecht netwerk. Je mag weer meedoen zodra het gevecht is afgelopen.","Rozłączono Cię zbyt wiele razy. Mogło to być spowodowane niską jakością połączenia z internetem. Wrócisz do gry, gdy bitwa się zakończy.","Você sofreu uma desconexão da batalha várias vezes, possivelmente devido à má conexão de rede. Você poderá voltar para o jogo quando a batalha terminar.","Вы отключались от боя слишком много раз. Это могло произойти из-за плохого соединения. Вы сможете вернуться в игру, когда этот бой закончится.","คุณถูกตัดการเชื่อมต่อจากการต่อสู้บ่อยครั้งเกินไปซึ่งอาจเกิดจากเครือข่ายไม่ดี คุณจะได้รับอนุญาตให้กลับเข้าสู่เกมอีกครั้งหลังการต่อสู้สิ้นสุดแล้ว","Savaşla bağlantın çok fazla kez kesildi, bunun nedeni kötü ağ bağlantısı olabilir. Savaş sona erdiğinde oyuna tekrar girebileceksin.","Bạn đã bị ngắt kết nối khỏi trận chiến quá nhiều lần, nguyên nhân có thể là do kết nối mạng kém. Bạn sẽ có thể quay lại trò chơi khi trận chiến kết thúc."
"TID_BP_UNLOCK_ANY_BRAWLER","UNLOCK ANY EPIC BRAWLER","افتح أي بطل استثنائي","解锁任意史诗英雄","解鎖任意史詩英雄","SCHALTE EINEN BELIEBIGEN EPISCHEN BRAWLER FREI","DESBLOQUEA CUALQUIER BRAWLER ÉPICO","AVAA MIKÄ TAHANSA EEPPINEN RÄMÄPÄÄ","DÉBLOQUEZ N'IMPORTE QUEL BRAWLER ÉPIQUE","פתחו נעילה של בראולר אדיר כלשהו","BUKA JAGOAN EPIK MANA SAJA","SBLOCCA UN BRAWLER EPICO QUALSIASI","好きなハイパーレアキャラクターをアンロック","원하는 영웅 브롤러 잠금 해제","BUKA SEBARANG BRAWLER EPIK","ONTGRENDEL EEN EPISCHE KNOKKER","ODBLOKUJ DOWOLNEGO EPICKIEGO ZADYMIARZA","DESBLOQUEIE QUALQUER BRAWLER ÉPICO","РАЗБЛОКИРУЙ ЛЮБОГО ЭПИЧЕСКОГО БОЙЦА","ปลดล็อคบรอว์เลอร์อีปิค","HERHANGİ BİR DESTANSI SAVAŞÇIYI AÇ","MỞ KHÓA CHIẾN BINH BRAWL QUÝ HIẾM BẤT KỲ"
"TID_BP_UNLOCK_ANY_BRAWLER_UP_TO_EPIC","Or Claim Credits!","أو طالب بأرصدة","或领取英雄券！","或領取英雄積分！","Oder hol dir Credits!","¡O consigue créditos!","Tai lunasta krediittejä!","Ou récupérez des crédits !","או בקשו קרדיטים!","atau Klaim Kredit!","o ritira i crediti!","またはクレジットを回収！","혹은 크레딧 받기!","Atau tuntut kredit!","Of claim credits!","lub odbierz kredyty!","Ou resgate vales!","или получи кредиты!","หรือรับเครดิต!","Veya Kredi Al!","Hoặc nhận Phiếu!"
"TID_RECORDS_LEVEL_UP_SCREEN_TITLE","RECORD LEVEL","مستوى التسجيل","记录等级","紀錄等級","AUFZEICHNUNGSLEVEL","NIVEL DE REGISTROS","TALLENNETASO","NIVEAU D'ENREGISTREMENT","רמת שיא","LEVEL REKOR","LIVELLO CLIP","記録レベル","레코드 레벨","TAHAP REKOD","RECORDLEVEL","POZIOM WYCZYNÓW","NÍVEL DE REGISTRO","УРОВЕНЬ ВИДЕОЗАПИСИ","เลเวลบันทึก","KAYIT SEVİYESİ","CẤP KỶ LỤC"
"TID_CHARGE_DESC","Bull puts his head down and bulldozes through obstacles, damaging opponents along the way and slowing nearby enemies at the end. He's always been headstrong!","يضع بول رأسه أرضًا ويدهس العوائق أمامه، يلحق الضرر بالخصوم في طريقه ويبطئ الأعداء القريبين في النهاية. لطالما عُرف عنه صلابة رأسه.","公牛埋头发动冲锋，能够撞穿掩体、对沿途敌人造成伤害，最终停下时还会使附近的敌人减速。没错，这位老兄不但脑袋硬得像头牛，脾气也倔得像头牛！","狂牛埋頭發動衝鋒，能夠撞穿障礙物、對沿途敵人造成傷害，最終停下時還會使附近的敵人減速。沒錯，這位老兄不但腦袋硬得像頭牛，脾氣也硬得像頭牛！","Bull senkt seinen Kopf und stürmt durch Hindernisse hindurch, verursacht an Gegnern auf dem Weg Schaden und verlangsamt am Ende Feinde in der Nähe. Er war schon immer ein Dickschädel!","Bull agacha la cabeza y embiste contra cualquier obstáculo que se cruce en su camino. Inflige daño a los rivales a los que golpea y ralentiza a los enemigos cercanos al final de su trayectoria. ¡Qué cabeza más dura!","Bull ottaa hyökkäysasennon ja raivaa tiensä esteiden läpi tehden matkansa varrella tuhoa vastustajiin ja hidastaen lähistöllä olevia vastustajia pysähtyessään. Hän on aina ollut kovapäistä sorttia!","Bull fonce tête baissée et détruit tous les obstacles, infligeant des dégâts aux ennemis sur son chemin et ralentissant les ennemis proches à la fin de sa ruée. Il a toujours été une forte tête !","בול מרכין את הראש שלו, ופורץ את דרכו דרך מכשולים. הוא פוגע ביריבים בדרכו, ומאט אויבים בסביבה. הוא תמיד היה ראש גדול!","Bull menundukkan kepala dan menyeruduk penghalang. Dia akan memberi kerusakan pada semua lawan yang mengadang dan memberi efek lambat saat berhenti! Kadang, keras kepala ada sisi positifnya!","Con la grazia di un toro imbestialito, Bull parte alla carica a testa bassa, sfondando gli ostacoli, danneggiando i nemici che trova sul suo cammino e rallentando quelli nelle vicinanze a fine corsa.","頭を低くして、敵や障害物に猛突進！進路上の敵にダメージを与え、最後に周囲の敵をスローダウンさせる。こうなった彼は、もう誰にも止められない！","머리를 숙이고 장애물을 박차고 돌진합니다. 이동하면서 적에게 피해를 주고 마지막에는 적을 느리게 합니다. 마치 불도저 같죠!","Bull menundukkan kepala, meluru dan melanggar halangan, merosakkan musuh sepanjang jalan dan memperlahankan musuh berdekatan apabila dia berhenti. Dia memang keras kepala.","Bull houdt zijn hoofd naar beneden en bulldozert door obstakels heen. Onderweg deelt hij schade uit aan vijanden en hij vertraagt nabije vijanden aan het einde. Zijn harde hoofd is ongeëvenaard.","Bull pochyla się i niczym buldożer przebija się przez przeszkody, zadając po drodze obrażenia, a na koniec spowalnia pobliskich wrogów. Widać ma mocną głowę!","Bull abaixa a cabeça e destrói os obstáculos à frente, causando dano aos inimigos pelo caminho e desacelerando os oponentes próximos no fim. Ele sempre foi cabeça-dura mesmo!","Наклонившись вперёд, Булл мчится сквозь препятствия и наносит урон противникам, замедляя всех врагов поблизости в конце пути. Упорство — его второе я.","บูลก้มหัวลงและไถทำลายผ่านสิ่งกีดขวาง สร้างความเสียหายตามให้กับศัตรูที่อยู่ตามเส้นทางและทำให้ศัตรูที่จุดสิ้นสุดช้าลง สมแล้วที่เป็นคนหัวแข็ง!","Bull enerjisini toplayıp koşmaya başlar, engelleri yıkıp geçer, yolundaki düşmanlara hasar verir ve durduğunda yakındaki düşmanları sersemletir. Hep kafasının dikine giden biri olmuştur!","Bull cúi đầu ủi vào các chướng ngại vật, gây sát thương cho đối thủ trên đường đi và làm chậm những kẻ địch ở gần khi chiêu thức kết thúc. Anh ta có một cái đầu cứng như sắt!"
